"Titolo","Codice","Tipo","Volume","Autore (Cognome, Nome)","Autore (Cognome, Nome) copy","Autore (Cognome, Nome) copy copy","Anno di pubblicazione","Luogo","Editore","Tags","Fondo","Fondo (from Fondo)","pdf","Immagine","Collocazione","Faldone","Disclaimer"
"L’arte di ragionare. Come si impara a ragionare e giudicare colla propria testa ","01.1.AAVLARR","Libro edito","","AAVV","","","1928","Milano ","Istituto Hermes Editore","Educazione,Filosofia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Legge quadro e rinnovo dell'attuale disciplina indispensabili presupposti per un artigianato a livello europeo ","01.1.AAVLEG","Libro edito","","AAVV","","","1973","Mantova","Giunta regionale della Lombardia assessorato all'artigianato","Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lenin teorico e dirigente rivoluzionario","01.1.AAVLEN","Libro edito","","AAVV","","","1970","Roma","Critica Marxista","Politica,Comunismo,Biografico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La lotta contro i monopoli","01.1.AAVLOT","Libro edito","","AAVV","","","1955","Bari","Laterza ","Politica,Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Manifestazione nazionale per la riforma agraria","01.1.AAVMAN","Libro edito","","AAVV","","","1961","Roma ","Stabilimento tipografico G.A.T.E","Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Morte di un generale","01.1.AAVMOR","Libro edito","","AAVV","","","1982","Milano","Mondadori","Inchiesta,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Parlamento Istituzioni Democrazia. Seminario di studio","01.1.AAVPAR","Libro edito","","AAVV","","","1980","Milano","Giuffrè","Politica,Amministrazione,Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"programmazione e mezzogiorno","01.1.AAVPRO","Libro edito","","AAVV","","","1966","Roma","Mondoperaio","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La scelta della professione","01.1.AAVSCE","Libro edito","","AAVV","","","1978","Milano","Giuffrè","Educazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il socialismo dal basso","01.1.AAVSOB","Libro edito","","AAVV","","","1976","Venezia","Marsilio editori","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"I socialisti e la cultura","01.1.AAVSOC","Libro edito","","AAVV","","","1976","Venezia-Padova","Marsilio Editori","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lo sperpero del pubblico denaro ","01.1.AAVSPE","Libro edito","","AAVV","","","1965","Milano ","Giuffrè","Economia,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lo Spluga","01.1.AAVSPL.2","Libro edito","2","AAVV","","","1982","Milano","Comitato per il traforo dello Spluga","Politica,Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storie segrete dell'ultima guerra","01.1.AAVSTOS","Libro edito","","AAVV","","","1960","Milano ","Selezione dal Reader Digest S.p.A","Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia del Partito Socialista Italiano","01.1.AAVSTO.1","Libro edito","1","AAVV","","","1980","Padova","Marsilio Editori","Storia,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia del Partito Socialista Italiano","01.1.AAVSTO.2","Libro edito","2","AAVV","","","1980","Padova","Marsilio Editori","Storia,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia del Partito Socialista Italiano","01.1.AAVSTO.3","Libro edito","3","AAVV","","","1980","Padova","Marsilio Editori","Storia,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La strage di stato ","01.1.AAVSTR","Libro edito","","AAVV","","","1971","Roma","Edizioni Samonà e Savelli","Politica,Inchiesta","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Togliatti nella storia d'Italia","01.1.AAVTOG","Libro edito","","AAVV","","","1984","Roma","Editori Riuniti","Storia,Biografico,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Turati giovane","01.1.AAVTUR","Libro edito","","AAVV","","","1962","Milano","Edizioni Avanti!","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Un'esperienza riformista","01.1.AAVUNE","Libro edito","","AAVV","","","1983","Milano","CREA","Amministrazione,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"V ° Congresso dell'alleanza socialista del popolo lavoratore della Jugoslavia ","01.1.AAVVCO","Libro edito","","AAVV","","","1960","Milano","Edizioni Avanti!","Politica,Comunismo,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Vita di un prete operaio","01.1.AAVVIT","Libro edito","","AAVV","","","1962","Torino ","Einaudi ","Religione,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La filosofia di Benedetto Croce e la crisi della società italiana","01.1.ABBFIL","Libro edito","","Abbate, Michele","","","1955","Torino","Einaudi","Filosofia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Cittadini in uniforme","01.1.ACCAFCIT","Libro edito","","Accame, Falco","","","1976","Cosenza","Lerici","Politica,Amministrazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Socialismo tricolore","01.1.ACCAGSOC","Libro edito","","Accame, Giano","","","1983","Milano","Editoriale Nuova","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Fiat confino","01.1.ACCOFIA","Libro edito","","Accornero, Aris","","","1959","Milano ","Edizioni Avanti!","Storia,Economia,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Discorsi di Enrico De Nicola, Enrico Altavilla,  Enrico Gonzales. Scritti di Collino Pansa, Giuseppe Polillo","01.1.AFIDIS","Libro edito","","Associazione Forense Italiana","","","1956","Milano","Giuffrè","Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Rinascita. 1944-1962","01.1.ALARIN.1","Libro edito","1","Alatri, Paolo","","","1966","Firenze","Landi","Politica,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Rinascita. 1944-1962","01.1.ALARIN.2","Libro edito","2","Alatri, Paolo","","","1966","Firenze","Landi","Politica,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Rinascita. 1944-1962","01.1.ALARIN.3","Libro edito","3","Alatri, Paolo","","","1966","Firenze","Landi","Politica,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Una crociata per la giustizia","01.1.ALBCRO","Libro edito","","Albanese, Angelo","","","1980","Roma","La Piramide","Politica,Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il problema storico dell'arretratezza economica","01.1.ALEPRO","Libro edito","","Alexander Gerschenkron","","","1965","Torino","Einaudi","Politica,Storia,Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Poesie e canti della resistenza palestinese","01.1.ALFPOE","Libro edito","","Al Fat'h","","","1972","Milano","Edizioni movimento studentesco","Politica,Resistenza,Comunismo,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Memorie di una antifascista","01.1.ALLMEM","Libro edito","","Allason, Barbara","","","1961","Milano","Edizioni Avanti!","Politica, Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Venti lettere a un amico","01.1.ALLVEN","Libro edito","","Alliluieva, Svetlana","","","1967","Milano","Mondadori","Biografico,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Fascismo. Inchiesta socialista sulle gesta dei fascisti in Italia","01.1.AMBFAS","Libro edito","","Ambrosoli, Luigi","","","1963","Milano","Edizioni Avanti!","Inchiesta,Fascismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Né aderire né sabotare 1915-1918","01.1.AMBNÉA","Libro edito","","Ambrosoli, Luigi","","","1961","Milano","Edizioni Avanti!","Storia,Grande Guerra","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Fascismo e movimento operaio","01.1.AMEFAS","Libro edito","","Amendola, Giorgio","","","1975","Roma","Editori Riuniti","Storia,Fascismo,Operaismo,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Una scelta di vita","01.1.AMESCE","Libro edito","","Amendola, Giorgio","","","1976","Milano","Rizzoli","Biografico,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Tra passione e ragione","01.1.AMETRA","Libro edito","","Amendola, Giorgio","","","1982","Milano","Rizzoli","Biografico,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Un'isola","01.1.AMEUNI","Libro edito","","Amendola, Giorgio","","","1980","Milano","Rizzoli","Biografico,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Rosa Luxemburg. Scritti scelti","01.1.AMOROS","Libro edito","","Amodio, Luciano","","","1963","Milano","Edizioni Avanti!","Politica,Socialismo,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"L'africa e la comunità economica europea","01.1.ANDILAF","Libro edito","","Andreis, Mario","","","1967","Torino","Einaudi","Economia,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Socialismo e socialisti in Italia ","01.1.ANGSOC","Libro edito","","Angiolini, Alfredo","","","1966","Roma","Editori Riuniti","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Trent'anni di storia italiana (1915-1945)","01.1.ANTTRE","Libro edito","","Antonicelli, Franco","","","1961","Torino","Einaudi","Storia,Fascismo,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Mondo Operaio 1956-1965","01.1.ARFMON.1","Libro edito","1","Arfé, Gaetano","","","1974","Firenze","Landi","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Mondo Operaio 1956-1965","01.1.ARFMON.2","Libro edito","2","Arfé. Gaetano","","","1974","Firenze","Landi","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia del socialismo italiano ","01.1.ARFSTO","Libro edito","","Arfé, Gaetano","","","1965","Torino ","Einaudi ","Storia, Politica, Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia dell'Avanti! 1896-1926","01.1.ARFSTO.I","Libro edito","I","Arfé, Gaetano","","","1956","Milano-Roma","Edizioni Avanti!","Storia,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia dell'Avanti! 1926-1940","01.1.ARFSTO.II","Libro edito","II","Arfé, Gaetano","","","1958","Milano-Roma","Edizioni Avanti!","Storia,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Stato e chiesa in Polonia","01.1.ARPSTA","Libro edito","","Associazione italiana per i rapporti culturali con la Polonia","","","1959","Roma","Conoscersi","Politica,Chiesa,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il dramma di Graziani nelle arringhe della difesa","01.1.AUGDRA","Libro edito","","Augenti, G.P.","Mastino del Rio, G.","Carnelutti, F.","1950","Bologna","Zuffi Editore","Storia,Biografico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Blasco. La riabilitazione di un militante rivoluzionario","01.1.AZZBLA","Libro edito","","Azzaroni, Alfredo","","","1962","Milano","Azione Comune","Biografico,Comunismo,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La vita spiegata ai miei figli","01.1.BACVIT","Libro edito","","Bacus-Lindroth, Anne","","","1999","Milano","Bompiani","Educazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Aritmetica pratica per le scuole medie inferiori","01.1.BAFARI","Libro edito","","Baffi, Contardo","","","1934","Torino","Paravia","Educazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Stato e Anarchia e altri scritti","01.1.BAKSTA","Libro edito","","Bakunin, Michail A.","","","1968","Milano","Feltrinelli","Politica,Anarchismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Ricordi di una socialista","01.1.BALARIC","Libro edito","","Balabanoff, Angelica","","","1946","Roma","Donatello De Luigi ","Socialismo,Politica,Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Fede e scelta politica ","01.1.BALDUFED","Libro edito","","Balducci, Ernesto ","","","1977","Milano","Mondadori ","Politica,Religione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Costituzione e organi dello stato","01.1.BALZCOS","Libro edito","","Balzamo, Vincenzo","Prosperi, Franco","","1977","Roma","Napoleone","Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Diritti civili e libertà democratiche","01.1.BALZDIR","Libro edito","","Balzamo, Vincenzo ","","","1975","Padova","Marsilio Editori","Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Diritti civili e libertà democratiche","01.1.BALZDIRbis","Libro edito","","Balzamo, Vincenzo","","","1975","Padova","Marsilio Editori","Politica,Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Ordine pubblico e sicurezza democratica","01.1.BALZORD","Libro edito","","Balzamo, Vincenzo","","","1976","Firenze","La Nuova Italia","Politica,Amministrazione,Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il capitale monopolistico","01.1.BARCAP","Libro edito","","Baranz Paul","Sweezy Paul","","1968","Torino","Einaudi","Economia,Politica,Amministrazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Dizionario di politica economica ","01.1.BARDIZ","Libro edito","","Barca, Luciano ","","","1980","ROMA","Editori Riuniti","Politica, Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Mancini","01.1.BARMAC","Libro edito","","Barrese, Orazio","","","1976","Milano","Feltrinelli","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Rodolfo Mondolfo, nella vita e nel pensiero socialista","01.1.BASSIROD","Libro edito","","Bassi, Enrico","","","1968","Bologna","Tamari Editori","Politica, Storia, Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Problemi di socialismo","01.1.BASSOPRO","Libro edito","","Basso, Lelio","","","1972","Padova","Marsilio Editori","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Socialisti e cattolici al bivio","01.1.BASSOSOC","Libro edito","","Basso, Lelio","","","1961","Manduria-Bari-Perugia","Lacaita","Politica,Socialismo,Democrazia Cristiana","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Un popolo in lotta","01.1.BATPOP","Libro edito","","Battaglia, R.","Ramat, R.","","1961","Firenze","La Nuova Italia","Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Documenti del socialismo italiano ","01.1.BENDOC","Libro edito","","Benzoni, Alberto","Tedesco Viva","","1968","Padova ","Marsilio Editore","Storia, Politica, Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il movimento socialista nel dopoguerra","01.1.BENMOV","Libro edito","","Benzoni, Alberto","Tedesco, Viva","","1968","Padova","Marsilio Editore","Politica, Storia, Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il Partito Socialista dalla Resistenza ad oggi","01.1.BENPAR","Libro edito","","Benzoni, Alberto","","","1980","Padova","Marsilio Editori","Storia,Socialismo,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La repressione sovietica in Ungheria","01.1.BERREP","Libro edito","","Berke, A.A.","","","1957","Milano","Mondadori","Politica,Esteri,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Ateo a 18 anni?","01.1.BETATE","Libro edito","","Bettazzi Luigi","","","1982","Milano ","Rizzoli","Religione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il comunismo europeo","01.1.BETCOM","Libro edito","","Bettiza, Enzo","","","1978","Milano","Rizzoli","Politica,Comunismo,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lenin","01.1.BEYLEN","Libro edito","","Bey, Essad","","","1938","Milano","Treves","Biografico,Comunismo,Storia,Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Come andremo a incominciare","01.1.BIACOM","Libro edito","","Biagi, Enzo ","Scalfari, Eugenio","","1981","Milano","Rizzoli","Politica,Giornalismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Carlone. Vita di un italiano","01.1.BIGCAR","Libro edito","","Bigiaretti, Libero","","","1956","Milano-Roma","Edizioni Avanti!","Narrativa","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La protesta di Leopardi","01.1.BINPRO","Libro edito","","Binni, Walter","","","1977","Firenze ","Sansoni","Letteratura","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Pertini racconta","01.1.BISPER","Libro edito","","Bisiach, Gianni","","","1983","Milano","Mondadori","Biografico,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Pertini racconta","01.1.BISPERbis","Libro edito","","Bisiach, Gianni","","","1983","Milano","Mondadori","Politica,Socialismo,Storia,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Dizionario di politica","01.1.BOBDIZ","Libro edito","","Bobbio, Norberto","Matteucci, Nicola","","1976","Torino","UTET","Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"L'umanesimo socialista di Rodolfo Mondolfo ","01.1.BOBLUM","Libro edito","","Bobbio, Norberto","Pellicani Luciano","Treves Renato ","1977","Settimo Milanese","Arti grafiche Fracchia","Politica, Socialismo, Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il marxismo e lo Stato","01.1.BOBMAR","Libro edito","","Bobbio, Norberto","Alia","","1976","Roma","Mondoperaio","Politica,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il marxismo e lo Stato","01.1.BOBMARbis","Libro edito","","Bobbio, Norberto","","","1976","Milano","Mondoperaio","Politica,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"L'Italia è Malata","01.1.BOCLIT","Libro edito","","Bocca, Giorgio","","","1977","Roma","L'Espresso","Inchiesta,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Miracolo all'italiana","01.1.BOCMIR","Libro edito","","Bocca, Giorgio","","","1962","Milano","Edizioni Avanti!","Inchiesta,Politica,Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Mussolini socialfascista","01.1.BOCMUS","Libro edito","","Bocca, Giorgio","","","1983","Milano","Garzanti","Storia,Fascismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Palmiro Togliatti","01.1.BOCPAL","Libro edito","","Bocca, Giorgio","","","1973","Roma-Bari","Laterza","Biografico,Storia,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia della Repubblica Italiana","01.1.BOCSTO","Libro edito","","Bocca, Giorgio","","","1982","Milano","Rizzoli","Storia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il terrorismo italiano 1970-1978","01.1.BOCTER","Libro edito","","Bocca, Giorgio","","","1978","Milano","Rizzoli","Inchiesta,Terrorismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia delle dottrine politiche. L'assolutismo europeo","01.1.BOISTO.1","Libro edito","1","Boiardi, Franco","","","1979","Milano","Nuova CEI","Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia delle dottrine politiche. Rivoluzione e restauro 1781-1820","01.1.BOISTO.2","Libro edito","2","Boiardi, Franco","","","1979","Milano","Nuova CEI","Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia delle dottrine politiche. L'età liberale 1821-1871","01.1.BOISTO.3","Libro edito","3","Boiardi, Franco","","","1979","Milano","Nuova CEI","Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia delle dottrine politiche. L'età contemporanea 1872-1945","01.1.BOISTO.4","Libro edito","4","Boiardi, Franco","","","1980","Milano","Nuova CEI","Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Storia delle dottrine politiche. Colonialismo e imperialismo 1575-1945","01.1.BOISTO.5","Libro edito","5","Boiardi, Franco","","","1982","Milano","Nuova CEI","Politica,Filosofia politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Le battaglie politico-ideologiche","01.1.BONBAT","Libro edito","","Bonetti, Paolo","","","1978","Milano","Il Mondo","Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Le battaglie economiche","01.1.BONBATbis","Libro edito","","Bonetti, Paolo","","","1978","Milano","Il Mondo","Economia,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La cancrena","01.1.BOUCAN","Libro edito","","Boumaza, Bechir","Francis, Mustapha","","1959","Torino","Einaudi","Inchiesta,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La politica di un socialista","01.1.BRANPOL","Libro edito","","Brandt, Willy","","","1979","Milano","Garzanti","Biografico,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Il socialismo in asia","01.1.BRASOC","Libro edito","","Braunthal, Julius","","","1959","Roma","Editoriale Opere Nuove","Politica, Socialismo, Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Marx e Engels","01.1.BRAVMAR","Libro edito","","Bravo, Gian Maria","","","1962","Milano","Edizioni Avanti!","Politica,Filosofia politica,Socialismo,Comunismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Marx a Londra. La vita quotidiana negli anni dell'esilio","01.1.BRIMAR","Libro edito","","Briggs, Asa","","","1982","Roma","Rinascita","Biografico,Filosofia politica,Comunismo,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La programmazione in Italia","01.1.BRIPRO","Libro edito","","Brigida, Franco","","","1968","Padova","Marsilio Editori","Inchiesta,Amministrazione,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Socialismo libertario","01.1.CAFSOC","Libro edito","","Caffi, Andrea","","","1964","Milano","Azione Comune","Politica,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Calamandrei","01.1.CALACAL.1","Libro edito","1","Calamandrei, Piero","Enriques Agnoletti, Enzo","","1958","Firenze","La Nuova Italia","Biografico,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La casa di campagna","01.1.CALACAS","Libro edito","","Calamandrei, Piero","","","1965","Firenze","La Nuova Italia","Biografico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La Costituzione Italiana","01.1.CALACOS","Libro edito","","Calamandrei, Piero","","","1956","Milano-Roma","Edizioni Avanti!","Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lettere 1915-1956 ","01.1.CALALET.1","Libro edito","1","Calamandrei, Piero","","","1968","Firenze","La nuova Italia","Resistenza,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lettere 1915-1956","01.1.CALALET.2","Libro edito","2","Calamandrei, Pietro","","","1968","Firenze","La Nuova Italia","Resistenza,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Scritti e discorsi politici. Storia di dodici anni","01.1.CALASCR.1.1","Libro edito","1.1","Calamandrei, Pietro","","","1966","Firenze","La Nuova Italia","Politica,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Scritti e discorsi politici. Storia di dodici anni","01.1.CALASCR.1.2","Libro edito","1.2","Calamandrei, Pietro","","","1966","Firenze","La Nuova Italia","Politica,Resistenza","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Scritti e discorsi politici. Discorsi parlamentari e politica costituzionale","01.1.CALASCR.2","Libro edito","2","Calamandrei","","","1966","Firenze","La Nuova Italia","Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"I nodi della pace","01.1.CALCNOD","Libro edito","","Calchi-Novati, Gianpaolo","","","1968","Padova","Marsilio Editori","Politica,Esteri","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Si fa presto a dire fame ","01.1.CALESIF","Libro edito","","Caleffi, Pietro ","","","1960","Novara ","Il Gallo","Politica,Biografico,Resistenza,Socialismo","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Socialismo in Svezia","01.1.CAPASOC","Libro edito","","Capasso, Arturo","","","1966","Milano","Edizioni Azione Comune ","Socialismo,Esteri,Politica","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Lo sviluppo italiano nel Dopoguerra","01.1.CAPESVI","Libro edito","","Caperdoni, Enrico","","","1968","Padova","Marsilio Editori","Storia,Economia","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Atti della Costituente sull'Art. 7","01.1.CAPIATT","Libro edito","","Capitini, Aldo","Lacaita, Piero","","1959","Perugia","Lacaita","Giuridico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Danilo Dolci","01.1.CAPIDAN","Libro edito","","Capitini, Aldo","","","1958","Fasano di Puglia","Lacaita Editore","Letteratura,Biografico","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"La libertà religiosa in Italia","01.1.CAPILIB","Libro edito","","Capitini, Aldo","Magni, Cesare","Borghi, Lamberto","1956","Firenze","La Nuova Italia","Politica,Religione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Spesa pubblica e iniziativa imprenditoriale","01.1.CARASPE","Libro edito","","Carabba, Manin","","","1966","Torino","Einaudi","Economia,Amministrazione","01 - Venturati","1 - Venturati","","","","Biblioteca",""
"Ariosto e Tasso","01.1.CAREARI","Libro edito","","Caretti, Lanfranco","","","1977","Torino ","Einaudi","Letteratura","01 - Venturati","1 - Venturati","","","","Biblioteca",""
